name,district,place_image,address
밀리오레 동대문점,서울 중구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e6bdf89c-5268-49ca-a16e-da48f69d0786,서울특별시 중구 장충단로 263 
방산 종합시장,서울 중구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=15d825ef-408f-46ac-bc58-5b8df12b82cb,서울특별시 중구 을지로33길 18-1 오성빌딩  
현대백화점 압구정본점,서울 강남구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fb376af1-1919-456a-879b-657c00cc0322,서울특별시 강남구 압구정로 165 (압구정동)
현대백화점 무역센터점,서울 강남구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bf4dff59-4e82-43c4-ab36-f9859640b51a,서울특별시 강남구 테헤란로 517 
갤러리아백화점 명품관,서울 강남구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6c53418f-a331-48d2-adb9-712ffbe4e3f6,서울특별시 강남구 압구정로 343 
허준박물관,서울 강서구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0e2a261d-11a9-4195-b3ac-836abd3f8410,서울특별시 강서구 허준로 87 
약사사(서울),서울 강서구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ebad05b2-cb74-4b3a-bb52-f418251bbbf7,서울특별시 강서구 금낭화로17길 261 
관악산 낙성대공원,서울 관악구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=78d6c2aa-9d12-48e5-ac3b-6a8940fb6994,서울특별시 관악구 낙성대로 77 
서울 태릉(문정왕후)과 강릉(명종·인순왕후) [유네스코 세계유산],서울 노원구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=806e4054-c6fb-4648-8959-d133665caee3,서울특별시 노원구 화랑로 681
서울 영휘원(순헌황귀비)과 숭인원(이진),서울 동대문구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=87577f81-37fe-49a0-883b-f6d5fff9d88c,서울특별시 동대문구 홍릉로 90 (청량리동)
백련사(서울),서울 서대문구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=949772a5-a0a2-4a0c-9364-35b5cc9acd59,서울특별시 서대문구 백련사길 170-43
센트럴시티,서울 서초구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=61b50bd9-444b-4ab0-80d0-1ea07147b9ef,서울특별시 서초구 신반포로 176 (반포동)
롯데쇼핑 롯데아울렛 서울역점[한국관광 품질인증/Korea Quality],서울 용산구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0033ac35-559c-4714-8013-1b8e2c6b9dd1,서울특별시 용산구 한강대로 405 
두산갤러리,서울 종로구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5887d2f2-d7e3-4d64-9567-62c8f1993e04,서울특별시 종로구 종로33길 15 (연지동)
대림미술관,서울 종로구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c92db5bc-0068-47fa-a876-2570f09cd03f,서울특별시 종로구 자하문로4길 21 (통의동)
쌈지길,서울 종로구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2711aa92-ce84-49d2-a6a0-473acbbb5718,서울특별시 종로구 인사동길 44 
광화문광장,서울 종로구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8a855385-793c-4da7-938c-94a86ab91e18,서울특별시 종로구 세종대로 172 
서울역사박물관,서울 종로구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=70509721-01a9-46ca-8e67-ba93bbbbc0d3,서울특별시 종로구 새문안로 55 서울역사박물관  
서울 운현궁,서울 종로구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1f6d3ac8-0911-4949-a11a-ed325c3c16ab,서울특별시 종로구 삼일대로 464 
세운상가,서울 종로구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b1ab6217-fa19-4daf-ba0f-0edc65b291d4,서울특별시 종로구 청계천로 159 (장사동)
장충동 족발 골목,서울 중구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=217ee02a-9d26-490a-bb89-2da0627fce6d,서울특별시 중구 장충단로 176(장충동1가)
서울시립미술관(서소문본관),서울 중구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9283d63a-726e-41c1-8e7a-33e74b5172cc,서울특별시 중구 덕수궁길 61 
서울 중부시장,서울 중구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4424a910-12b6-4630-b743-865949090c10,서울특별시 중구 을지로36길 35 
서소문역사공원,서울 중구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fe555f7d-00c6-4b3d-9213-d7383b81f0d5,서울특별시 중구 칠패로 5 (의주로2가) 
남산 케이블카,서울 중구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=51c5594b-5ee3-4807-ba06-089e8b384192,서울특별시 중구 소파로 83 
